title,location,distance,description,verdict,rating,experience
Riad 7 Saints,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, le Riad 7 Saints possède un restaurant, un bar, un salon commun et des installations de sports nautiques. Il propose des chambres familiales et une terrasse. ",Superbe ,"8,9",78 expériences vécues
Riad le Clos des Arts,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,8",92 expériences vécues
Riad Olika,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",101 expériences vécues
Ksar Kasbah & Spa,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",364 expériences vécues
Sofitel Marrakech Lounge and Spa,"L’Hivernage, Marrakech","0,7 km du centre",Établissement Voyage Durable,Bien  ,"7,8",602 expériences vécues
Riad Ciel d'Orient,"Mellah, Marrakech",2 km du centre,"Situé à Marrakech, le Riad Ciel d'Orient possède un restaurant, une piscine extérieure, un salon commun et un jardin. Vous pourrez profiter de chambres familiales et d’une terrasse bien exposée. ",Superbe ,"8,9",202 expériences vécues
Riad Chafia,"Médina, Marrakech","1,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,2",149 expériences vécues
Riad Puchka,"Médina, Marrakech","1,8 km du centre","Situé à 10 minutes de marche de la place Jemaa el-Fna, le Riad Puchka comprend des hébergements climatisés avec une connexion Wi-Fi gratuite, une piscine avec terrasse et une baignoire spa. ",Très bien ,"8,2",350 expériences vécues
"NEW! Luxury’n Colorful, Gueliz","Guéliz, Marrakech","1,2 km du centre","Le NEW! Luxury’n Colorful, Gueliz est situé dans le quartier Gueliz de Marrakech, à 700 mètres de la gare de Marrakech, à 2 km du jardin Majorelle et à 2,3 km du musée Yves Saint Laurent. ",,,
Demeures d'Orient Riad & Spa,"Médina, Marrakech","1,3 km du centre","Bénéficiant d'un emplacement idéal au cœur de la médina et facile d'accès en voiture, le tout nouveau riad Demeures d'Orient vous accueille dans un cadre alliant espace et lumière. ",Fabuleux  ,"9,0",116 expériences vécues
Riad Il Parco dei Principi,"Médina, Marrakech",1 km du centre,"Il propose un restaurant, un bar, un jardin et une connexion Wi-Fi gratuite. Le Riad Il Parco dei Principi est situé à Marrakech, à 200 mètres du Jardin Secret et du musée Mouassine. ",Fabuleux  ,"9,4",215 expériences vécues
Adam Park Marrakech Hotel & Spa,"L'Agdal, Marrakech","3,7 km du centre","Situé à 15 minutes à pied des jardins de l'Agdal, l'Adam Park Marrakech Hotel & Spa propose une connexion Wi-Fi gratuite, une piscine extérieure et plusieurs restaurants qui vous serviront une variété...",Très bien ,"8,3",2 334 expériences vécues
Riad Dar Mchicha,"Médina, Marrakech","1,2 km du centre","Installé dans la vieille ville, le Riad Dar Mchicha propose des chambres avec salle de bains privative et connexion Wi-Fi gratuite, un patio avec une fontaine et du mobilier de jardin, ainsi qu'une...",Fabuleux  ,"9,0",159 expériences vécues
Dar Ikalimo Marrakech,"Médina, Marrakech","0,9 km du centre","Le Dar Ikalimo Marrakech propose un hébergement doté d'une terrasse à Marrakech, à 3 minutes de route de la place Jemaa el-Fna. Vous pourrez vous rendre au jardin Majorelle en 10 minutes en voiture. ",Très bien ,"8,1",23 expériences vécues
Riad Ivissa Kech,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",360 expériences vécues
Nadir Home,"Médina, Marrakech","1,4 km du centre",Le Nadir Home vous accueille à Marrakech. Il se trouve à 15 minutes à pied de la place Jamaâ El Fna. La connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement. ,Très bien ,"8,1",8 expériences vécues
Riad des Etoiles,Marrakech,"2,2 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",167 expériences vécues
Dar Chaaouf,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, à 1,8 km du jardin Majorelle, le Dar Chaaouf propose un restaurant, une connexion Wi-Fi gratuite, une réception ouverte 24h/24 et un bureau d'excursions. ",Superbe ,"8,8",4 expériences vécues
Riad Darhani,"Médina, Marrakech",1 km du centre,"Doté d'un jardin, d'un casino et offrant une vue sur la piscine, le Riad Darhani est situé à Marrakech, à 400 mètres du Jardin Secret. Il propose des chambres familiales et une terrasse. ",Superbe ,"8,9",54 expériences vécues
Hotel Jadali & Spa,"L’Hivernage, Marrakech",450 m du centre,Établissement Voyage Durable,Superbe ,"8,9",290 expériences vécues
Riad Bab Lakhmiss,"Médina, Marrakech","1,7 km du centre","Situé au cœur de Marrakech, à seulement 15 minutes à pied de la place Jemaa el-Fna, le Riad Bab Lakhmiss possède un patio central. ",Très bien ,"8,3",155 expériences vécues
The Ruby Apartment with Private Swimming Pool - Hivernage Quarter - By Goldex Marrakech,"L’Hivernage, Marrakech","0,9 km du centre","Situé à Marrakech, à moins de 2 km de la place Jemaa el-Fna et à 1,6 km de la mosquée Koutoubia, l'établissement The Ruby Apartment with Private Swimming Pool - Hivernage Quarter - By Goldex Marrakech...",Exceptionnel ,"9,5",4 expériences vécues
HERITAGE LALLA AICHA et SPA,"Médina, Marrakech","1,3 km du centre","Situé à 200 mètres du centre de Marrakech et à 500 mètres du musée orientaliste de Marrakech, l'HERITAGE LALLA AICHA et SPA propose des hébergements climatisés avec un patio, un jardin et une...",Fabuleux  ,"9,3",3 expériences vécues
Riad Bobby Marrakech,"Médina, Marrakech","0,6 km du centre","Doté d'un jardin et d'une terrasse, le Riad Bobby Marrakech est situé à Marrakech, à 700 mètres du Jardin Secret et à moins de 1 km du musée Mouassine. ",Fabuleux  ,"9,4",192 expériences vécues
Riad CHERRATA,"Médina, Marrakech","1,9 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",44 expériences vécues
Les Sources Berbères Riad & Spa,"Médina, Marrakech","1,8 km du centre",L'établissement Les Sources Berbères Riad & Spa se trouve à 5 minutes à pied de la place Djemaa El Fna. ,Fabuleux  ,"9,4",166 expériences vécues
Villa Lila,"Médina, Marrakech","1,8 km du centre",Établissement Voyage Durable,Superbe ,"8,6",34 expériences vécues
Dar Kandi,"Médina, Marrakech","0,7 km du centre","Situé à Marrakech, à 600 mètres du Jardin Secret, le Dar Kandi propose des hébergements, un restaurant, un parking privé, une piscine extérieure et un jardin. ",Exceptionnel ,"9,6",182 expériences vécues
Riad Carina,Marrakech,"1,7 km du centre","Situé à côté du Palais El Badi, en plein cœur de la Medina, ce charmant riad traditionnel se trouve à côté du musée Dar Si Said et de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",589 expériences vécues
Dixneuf La Ksour,"Médina, Marrakech","0,8 km du centre","Le Dixneuf La Ksour vous accueille au cœur de Marrakech, à seulement 600 mètres de la place Jemaa el-Fna. ",Fabuleux  ,"9,2",218 expériences vécues
Riad Olika,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",101 expériences vécues
Majorelle Piscine,Marrakech,"4,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",406 expériences vécues
Ksar Kasbah & Spa,"Kasbah, Marrakech","1,8 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",364 expériences vécues
Origin Hotels Riad Lhena,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Superbe ,"8,7",58 expériences vécues
Sofitel Marrakech Lounge and Spa,"L’Hivernage, Marrakech","0,7 km du centre",Établissement Voyage Durable,Bien  ,"7,8",602 expériences vécues
Marrakech Inn Appart-hotel & Pool,"Guéliz, Marrakech","2,2 km du centre","Idéalement situé dans le quartier de Guéliz, à Marrakech, le Marrakech Inn Appart-hotel & Pool est situé à 1,4 km du jardin Majorelle, à 2,2 km du musée Yves Saint Laurent et à 2,5 km de la mosquée...",Très bien ,"8,2",617 expériences vécues
Riad Omri,"Médina, Marrakech","1,9 km du centre","Situé à Marrakech, le Riad Omri possède un restaurant, une piscine extérieure, un bar et un salon commun. ",Fabuleux  ,"9,3",201 expériences vécues
Riad & Spa Esprit Du Maroc,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Exceptionnel ,10,1 expérience vécue
Riad La Porte Rouge,Marrakech,"2,5 km du centre",Établissement Voyage Durable,Superbe ,"8,9",149 expériences vécues
Riad Lorsya,"Médina, Marrakech","1,1 km du centre","Situé au cœur de la médina, ce riad traditionnel se trouve à 2 minutes de la place Jamaâ El Fna. Il propose une piscine et un toit-terrasse offrant des vues sur la médina. ",Très bien ,"8,5",116 expériences vécues
Riad Matins De Marrakech,"Médina, Marrakech","1,3 km du centre","Le Riad Matins De Marrakech est situé à Marrakech, dans le quartier de la médina. ",Fabuleux  ,"9,4",260 expériences vécues
Riad 117,"Médina, Marrakech","1,4 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",700 expériences vécues
Royal Mirage Deluxe,"L’Hivernage, Marrakech",450 m du centre,"Situé à 5 minutes en voiture de la place Jamaâ El Fna, cet hôtel propose des chambres élégantes et climatisées ainsi qu'une piscine extérieure. ",Note ,"6,4",281 expériences vécues
Sirayane Boutique Hotel & Spa Marrakech,Marrakech,"2,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",462 expériences vécues
Hivernage Secret Suites & Garden,"L’Hivernage, Marrakech",1 km du centre,"Situé à Marrakech, l'hôtel Hivernage Secret Suites & Garden propose un restaurant et des hébergements indépendants avec connexion Wi-Fi gratuite. ",Fabuleux  ,"9,3",168 expériences vécues
Kenzi Rose Garden,"L’Hivernage, Marrakech","0,8 km du centre",Établissement Voyage Durable,Bien  ,"7,8",2 260 expériences vécues
Riad Tahar Oasis,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Très bien ,"8,5",85 expériences vécues
Riad Cinnamon by Marrakech Riad,"Médina, Marrakech","1,3 km du centre","Le Riad Cinnamon est situé dans la médina de Marrakech, à proximité des souks et à 10 minutes à pied de la place Jamaâ El Fna. ",Superbe ,"8,8",68 expériences vécues
Sofitel Marrakech Palais Imperial,"L’Hivernage, Marrakech","0,7 km du centre",Établissement Voyage Durable,Bien  ,"7,6",312 expériences vécues
Riad Touda,"Médina, Marrakech","1,5 km du centre","Le RIAD TOUDA bénéficie d'un emplacement idéal dans le quartier de la médina à Marrakech, à environ 1 km du musée orientaliste et du palais de la Bahia et à 700 mètres du musée Boucharouite. ",Exceptionnel ,"9,5",295 expériences vécues
Riad Sidi Ayoub,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Superbe ,"8,7",72 expériences vécues
Riad ACV,Marrakech,1 km du centre,"Situé à Marrakech, à 400 mètres de la mosquée de la Koutoubia, le Riad ACV propose un bar, un salon commun, une vue sur la piscine, un restaurant, une réception ouverte 24h/24, une cuisine commune et...",Fabuleux  ,"9,0",91 expériences vécues
The Red House,"L’Hivernage, Marrakech",300 m du centre,"Le Red House, luxueux palace qui jouit d'une situation centrale dans le quartier de l'Hivernage, vous propose des chambres confortables dans un cadre chaleureux. ",Fabuleux  ,"9,3",294 expériences vécues
Riad Meriem,"Médina, Marrakech","1,5 km du centre","À pied, le Riad Meriem se situe à seulement 10 minutes de la place Jamaâ El Fna et à 5 minutes de la medersa Ben Youssef, à Marrakech. ",Fabuleux  ,"9,2",199 expériences vécues
Mogador Kasbah,"L'Agdal, Marrakech","3,6 km du centre",Établissement Voyage Durable,Bien  ,"7,3",921 expériences vécues
Riad Dar 73,"Mellah, Marrakech","1,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",97 expériences vécues
Riad Dar Alhambra,"Médina, Marrakech","1,4 km du centre",Ce riad du XVIe siècle possède un toit-terrasse donnant sur la mosquée Koutoubia et les massifs de l'Atlas. ,Fabuleux  ,"9,2",212 expériences vécues
Riad Tiziri,"Médina, Marrakech","1,5 km du centre","Doté d'un restaurant, d'un salon commun, d'un jardin et d'une connexion Wi-Fi gratuite, le Riad Tiziri est situé à Marrakech, à 70 mètres du musée orientaliste et à 600 mètres du musée Boucharouite. ",Très bien ,"8,4",34 expériences vécues
Riad Adriana,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",531 expériences vécues
RIAD TENDANCE IN MARRAKECH,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,,,
Riad Dar Saad - Hammam & Spa,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,1",182 expériences vécues
Riad Mariana,"Médina, Marrakech","1,9 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",24 expériences vécues
Dar Najat,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",181 expériences vécues
Riad Boussa,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",78 expériences vécues
Hotel Medina,"Médina, Marrakech","1,3 km du centre","Idéalement situé au cœur de Marrakech, l'Hotel Medina vous accueille à moins de 800 mètres du parking de la Koutoubia et à 7 km du supermarché Acima Massira. ",Bien  ,"7,6",559 expériences vécues
The Bohemian Jungle,"Médina, Marrakech","1,5 km du centre","Doté d'une piscine intérieure, l'établissement The Bohemian Jungle propose des hébergements climatisés avec connexion Wi-Fi gratuite dans le centre de Marrakech, à 200 mètres du musée Boucharouite. ",Exceptionnel ,"9,6",222 expériences vécues
Riad Slitine & Spa,"Médina, Marrakech","1,5 km du centre","Le Riad Slitine propose des chambres climatisées à seulement 2 minutes à pied de la place Jamaâ El Fna, dans le vieux quartier de Marrakech. ",Fabuleux  ,"9,2",128 expériences vécues
Riad Yamina,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",77 expériences vécues
Riad Dar Yasaman,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",169 expériences vécues
Riad Safar,"Médina, Marrakech",1 km du centre,"Située au cœur de la médina, cette maison d'hôtes affiche une architecture andalouse. Elle se trouve à 7 minutes de marche de la place Jemaa el Fna et de la Koutoubia. ",Fabuleux  ,"9,4",43 expériences vécues
Résidence-hotel Ezzahia,Marrakech,"2,2 km du centre","La Résidence-hotel Ezzahia vous accueille dans le quartier de Gueliz à Marrakech, à seulement 10 minutes en voiture de la célèbre place Jamaâ El Fna. ",Note ,"6,3",1 674 expériences vécues
Riad Viva,Marrakech,"1,1 km du centre","Au cœur de la médina, le Riad Viva dispose d'un toit-terrasse avec piscine, d'un restaurant, ainsi que d'une vue sur la mosquée Kotoubia et la vieille ville. ",Fabuleux  ,"9,0",380 expériences vécues
Riad Le Pèlerin,"Médina, Marrakech",1 km du centre,Établissement Voyage Durable,Fabuleux  ,"9,3",143 expériences vécues
Riad Dar Wildeve,"Médina, Marrakech","1,5 km du centre","Doté d'un salon commun, d'une terrasse et d'une vue sur la ville, le Riad Dar Wildeve est situé à Marrakech, à 600 mètres de la place Jemaa el-Fna. ",Exceptionnel ,"9,5",61 expériences vécues
Riad Al Jana,"Médina, Marrakech","1,3 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,0",160 expériences vécues
the bird,Marrakech,"8,8 km du centre","Situé à Marrakech, à 10 km du palais de la Bahia, l'oiseau propose un restaurant, un parking privé gratuit, une piscine extérieure et un bar. ",Fabuleux  ,"9,4",7 expériences vécues
Riad Taghazoute,"Médina, Marrakech","1,2 km du centre","Le Riad Taghazoute est situé au cœur de Marrakech, à seulement 100 mètres de la place Jemaâ El Fna et à 200 mètres de la mosquée Koutoubia. ",Très bien ,"8,5",99 expériences vécues
